Neighbourhood Number,Total Number of Crimes,Population,Working Age (25-54 years),Seniors (65+ years), Average household size,Persons living alone (total),Total - Income statistics,Total - Low-income status,Total - Immigrant,  Total visible minority population,"Total - Highest certificate, diploma or degree",Total income: Average amount ($)
69.00,679.00,7727.00,3605.00,895.00,2.46,965.00,490.00,7685.00,7685.00,2960.00,6275.00,48511.00
70.00,2726.00,27876.00,15025.00,3330.00,2.24,4330.00,1255.00,27040.00,27040.00,11225.00,23150.00,53803.00
71.00,1223.00,11669.00,5855.00,2250.00,1.71,3315.00,375.00,10990.00,10990.00,3170.00,10185.00,63012.00
72.00,1052.00,10803.00,5575.00,730.00,2.15,2160.00,690.00,10675.00,10675.00,7470.00,9045.00,34597.00
73.00,4786.00,20506.00,12530.00,1900.00,1.60,6855.00,705.00,18455.00,18455.00,7860.00,17030.00,58915.00
74.00,1721.00,18615.00,10350.00,1740.00,1.92,4525.00,900.00,18360.00,18355.00,12270.00,16075.00,32648.00
75.00,6232.00,31340.00,18780.00,3010.00,1.54,11420.00,745.00,30315.00,30310.00,12440.00,29095.00,53583.00
76.00,6817.00,25797.00,13065.00,2420.00,1.70,7610.00,785.00,25605.00,25605.00,15925.00,23940.00,56526.00
77.00,7747.00,65913.00,45105.00,4635.00,1.61,22035.00,1630.00,65625.00,65620.00,28895.00,61990.00,70600.00
78.00,3823.00,17945.00,8760.00,2705.00,2.00,4095.00,785.00,17455.00,17460.00,10520.00,16155.00,37422.00
79.00,1455.00,7607.00,3590.00,1320.00,1.97,1445.00,210.00,6680.00,6675.00,2205.00,6170.00,50757.00
80.00,1053.00,13826.00,7845.00,1960.00,2.17,2230.00,430.00,13755.00,13760.00,2950.00,12490.00,58071.00
81.00,1572.00,16556.00,9210.00,2350.00,2.35,2160.00,610.00,16225.00,16230.00,4820.00,14485.00,50694.00
82.00,2465.00,31180.00,23320.00,1510.00,1.62,10075.00,845.00,30445.00,30440.00,10665.00,28390.00,70623.00
83.00,1049.00,11785.00,6680.00,1515.00,2.15,2020.00,460.00,11710.00,11710.00,3630.00,10430.00,40588.00
84.00,1015.00,15559.00,9385.00,1855.00,2.03,2930.00,560.00,15055.00,15055.00,4265.00,13655.00,45737.00
85.00,2121.00,21849.00,12440.00,2540.00,1.81,5835.00,1090.00,20645.00,20655.00,9920.00,18585.00,35207.00
86.00,1138.00,14974.00,7990.00,1680.00,2.16,2695.00,585.00,14875.00,14875.00,3795.00,12565.00,50580.00
87.00,1233.00,23925.00,11570.00,3800.00,2.15,4200.00,920.00,23350.00,23345.00,4465.00,19815.00,71204.00
88.00,1070.00,22162.00,11660.00,3180.00,1.98,4745.00,850.00,21820.00,21810.00,5185.00,18970.00,57465.00
89.00,573.00,10070.00,4605.00,1245.00,2.64,840.00,365.00,10065.00,10070.00,1600.00,8020.00,71888.00
